time;vm_id;cpu_util;ram_util;mips_alloc;ram_max;vm_policy;link_policy;wf_policy
120;0;0.0;0.0;8000.0;2048;LFF;BLA;PSO
120;2;0.0;0.0;16000.0;4096;LFF;BLA;PSO
10;1;45.0034;0.0;4000.0;2048;LFF;BLA;SJF
10;3;21.2503;0.0;8000.0;2048;LFF;BLA;SJF
10;0;16.2502;0.0;8000.0;2048;LFF;BLA;SJF
10;2;23.7504;0.0;16000.0;4096;LFF;BLA;SJF
20;1;45.0034;0.0;4000.0;2048;LFF;BLA;SJF
20;3;16.2504;0.0;8000.0;2048;LFF;BLA;SJF
20;0;21.2505;0.0;8000.0;2048;LFF;BLA;SJF
20;2;23.7504;0.0;16000.0;4096;LFF;BLA;SJF
30;1;25.0013;0.0;4000.0;2048;LFF;BLA;SJF
30;3;11.2503;0.0;8000.0;2048;LFF;BLA;SJF
30;0;6.2501;0.0;8000.0;2048;LFF;BLA;SJF
30;2;13.7501;0.0;16000.0;4096;LFF;BLA;SJF
40;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
40;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
40;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
40;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
50;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
50;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
50;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
50;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
60;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
60;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
60;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
60;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
70;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
70;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
70;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
70;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
80;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
80;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
80;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
80;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
90;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
90;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
90;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
90;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
100;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
100;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
100;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
100;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
110;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
110;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
110;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
110;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
120;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
120;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
120;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
120;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
130;1;0.0;0.0;4000.0;2048;LFF;BLA;SJF
130;3;0.0;0.0;8000.0;2048;LFF;BLA;SJF
130;0;0.0;0.0;8000.0;2048;LFF;BLA;SJF
130;2;0.0;0.0;16000.0;4096;LFF;BLA;SJF
10;1;45.0056;0.0;4000.0;2048;LFF;First;Priority
10;3;21.2503;0.0;8000.0;2048;LFF;First;Priority
10;0;16.2502;0.0;8000.0;2048;LFF;First;Priority
10;2;23.7501;0.0;16000.0;4096;LFF;First;Priority
20;1;45.0068;0.0;4000.0;2048;LFF;First;Priority
20;3;16.2502;0.0;8000.0;2048;LFF;First;Priority
20;0;21.2503;0.0;8000.0;2048;LFF;First;Priority
20;2;23.7501;0.0;16000.0;4096;LFF;First;Priority
30;1;25.0025;0.0;4000.0;2048;LFF;First;Priority
30;3;11.2501;0.0;8000.0;2048;LFF;First;Priority
30;0;6.2501;0.0;8000.0;2048;LFF;First;Priority
30;2;13.7501;0.0;16000.0;4096;LFF;First;Priority
40;1;0.0;0.0;4000.0;2048;LFF;First;Priority
40;3;0.0;0.0;8000.0;2048;LFF;First;Priority
40;0;0.0;0.0;8000.0;2048;LFF;First;Priority
40;2;0.0;0.0;16000.0;4096;LFF;First;Priority
50;1;0.0;0.0;4000.0;2048;LFF;First;Priority
50;3;0.0;0.0;8000.0;2048;LFF;First;Priority
50;0;0.0;0.0;8000.0;2048;LFF;First;Priority
50;2;0.0;0.0;16000.0;4096;LFF;First;Priority
