# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;2.73;7.81;7.00;0.3336
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;2.73;7.81;7.00;0.3336
10.00;3;2.73;7.81;11.80;0.0699
10.00;0;2.73;7.81;11.80;0.0699
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;2.73;7.81;7.00;0.3336
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;2.73;7.81;7.00;0.3336
20.00;3;2.73;7.81;0.00;0.0697
20.00;0;2.73;7.81;0.00;0.0697
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;2.73;7.81;7.00;0.3336
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;2.73;7.81;7.00;0.3336
30.00;3;2.73;7.81;0.00;0.0697
30.00;0;2.73;7.81;0.00;0.0697
40.00;5;0.00;0.00;0.00;0.0000
40.00;4;0.00;0.00;0.00;0.0000
40.00;3;2.73;7.81;7.00;0.3336
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;2.73;7.81;7.00;0.3336
40.00;3;2.73;7.81;0.00;0.0697
40.00;0;2.73;7.81;0.00;0.0697
50.00;5;0.00;0.00;0.00;0.0000
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;2.73;7.81;7.00;0.3336
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;2.73;7.81;7.00;0.3336
50.00;3;2.73;7.81;0.00;0.0697
50.00;0;2.73;7.81;0.00;0.0697
60.00;5;0.00;0.00;0.00;0.0000
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;2.73;7.81;7.00;0.3336
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;2.73;7.81;7.00;0.3336
60.00;3;2.73;7.81;0.00;0.0697
60.00;0;2.73;7.81;0.00;0.0697
70.00;5;0.00;0.00;0.00;0.0000
70.00;4;0.00;0.00;0.00;0.0000
70.00;3;2.73;7.81;7.00;0.3336
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;2.73;7.81;7.00;0.3336
70.00;3;2.73;7.81;0.00;0.0697
70.00;0;2.73;7.81;0.00;0.0697
80.00;5;0.00;0.00;0.00;0.0000
80.00;4;0.00;0.00;0.00;0.0000
80.00;3;2.73;7.81;7.00;0.3336
80.00;2;0.00;0.00;0.00;0.0000
80.00;1;0.00;0.00;0.00;0.0000
80.00;0;2.73;7.81;7.00;0.3336
80.00;3;2.73;7.81;0.00;0.0697
80.00;0;2.73;7.81;0.00;0.0697
90.00;5;0.00;0.00;0.00;0.0000
90.00;4;0.00;0.00;0.00;0.0000
90.00;3;2.73;7.81;7.00;0.3336
90.00;2;0.00;0.00;0.00;0.0000
90.00;1;0.00;0.00;0.00;0.0000
90.00;0;2.73;7.81;7.00;0.3336
90.00;3;2.73;7.81;0.00;0.0697
90.00;0;2.73;7.81;0.00;0.0697
100.00;5;0.00;0.00;0.00;0.0000
100.00;4;0.00;0.00;0.00;0.0000
100.00;3;2.73;7.81;7.00;0.3336
100.00;2;0.00;0.00;0.00;0.0000
100.00;1;0.00;0.00;0.00;0.0000
100.00;0;2.73;7.81;7.00;0.3336
100.00;3;2.73;7.81;0.00;0.0697
100.00;0;2.73;7.81;0.00;0.0697
110.00;5;0.00;0.00;0.00;0.0000
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;2.73;7.81;7.00;0.3336
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;2.73;7.81;7.00;0.3336
110.00;3;2.73;7.81;0.00;0.0697
110.00;0;2.73;7.81;0.00;0.0697
120.00;5;0.00;0.00;0.00;0.0000
120.00;4;0.00;0.00;0.00;0.0000
120.00;3;2.73;7.81;7.00;0.3336
120.00;2;0.00;0.00;0.00;0.0000
120.00;1;0.00;0.00;0.00;0.0000
120.00;0;2.73;7.81;7.00;0.3336
120.00;3;2.73;7.81;0.00;0.0697
120.00;0;2.73;7.81;0.00;0.0697
130.00;5;0.00;0.00;0.00;0.0000
130.00;4;0.00;0.00;0.00;0.0000
130.00;3;2.73;7.81;7.00;0.3336
130.00;2;0.00;0.00;0.00;0.0000
130.00;1;0.00;0.00;0.00;0.0000
130.00;0;2.73;7.81;7.00;0.3336
130.00;3;2.73;7.81;0.00;0.0697
130.00;0;2.73;7.81;0.00;0.0697
140.00;5;0.00;0.00;0.00;0.0000
140.00;4;0.00;0.00;0.00;0.0000
140.00;3;2.73;7.81;7.00;0.3336
140.00;2;0.00;0.00;0.00;0.0000
140.00;1;0.00;0.00;0.00;0.0000
140.00;0;2.73;7.81;7.00;0.3336
140.00;3;2.73;7.81;0.00;0.0697
140.00;0;2.73;7.81;0.00;0.0697
150.00;5;0.00;0.00;0.00;0.0000
150.00;4;0.00;0.00;0.00;0.0000
150.00;3;2.73;7.81;7.00;0.3336
150.00;2;0.00;0.00;0.00;0.0000
150.00;1;0.00;0.00;0.00;0.0000
150.00;0;2.73;7.81;7.00;0.3336
150.00;3;2.73;7.81;0.00;0.0697
150.00;0;2.73;7.81;0.00;0.0697
160.00;5;0.00;0.00;0.00;0.0000
160.00;4;0.00;0.00;0.00;0.0000
160.00;3;2.73;7.81;7.00;0.3336
160.00;2;0.00;0.00;0.00;0.0000
160.00;1;0.00;0.00;0.00;0.0000
160.00;0;2.73;7.81;7.00;0.3336
160.00;3;2.73;7.81;0.00;0.0697
160.00;0;2.73;7.81;0.00;0.0697
170.00;5;0.00;0.00;0.00;0.0000
170.00;4;0.00;0.00;0.00;0.0000
170.00;3;2.73;7.81;7.00;0.3336
170.00;2;0.00;0.00;0.00;0.0000
170.00;1;0.00;0.00;0.00;0.0000
170.00;0;2.73;7.81;7.00;0.3336
170.00;3;2.73;7.81;0.00;0.0697
170.00;0;2.73;7.81;0.00;0.0697
180.00;5;0.00;0.00;0.00;0.0000
180.00;4;0.00;0.00;0.00;0.0000
180.00;3;2.73;7.81;7.00;0.3336
180.00;2;0.00;0.00;0.00;0.0000
180.00;1;0.00;0.00;0.00;0.0000
180.00;0;2.73;7.81;7.00;0.3336
180.00;3;2.73;7.81;0.00;0.0697
180.00;0;2.73;7.81;0.00;0.0697
190.00;5;0.00;0.00;0.00;0.0000
190.00;4;0.00;0.00;0.00;0.0000
190.00;3;2.73;7.81;7.00;0.3336
190.00;2;0.00;0.00;0.00;0.0000
190.00;1;0.00;0.00;0.00;0.0000
190.00;0;2.73;7.81;7.00;0.3336
190.00;3;2.73;7.81;0.00;0.0697
190.00;0;2.73;7.81;0.00;0.0697
200.00;5;0.00;0.00;0.00;0.0000
200.00;4;0.00;0.00;0.00;0.0000
200.00;3;2.73;7.81;7.00;0.3336
200.00;2;0.00;0.00;0.00;0.0000
200.00;1;0.00;0.00;0.00;0.0000
200.00;0;2.73;7.81;7.00;0.3336
200.00;3;2.73;7.81;0.00;0.0697
200.00;0;2.73;7.81;0.00;0.0697
210.00;5;0.00;0.00;0.00;0.0000
210.00;4;0.00;0.00;0.00;0.0000
210.00;3;2.73;7.81;7.00;0.3336
210.00;2;0.00;0.00;0.00;0.0000
210.00;1;0.00;0.00;0.00;0.0000
210.00;0;2.73;7.81;7.00;0.3336
210.00;3;2.73;7.81;0.00;0.0697
210.00;0;2.73;7.81;0.00;0.0697
220.00;5;0.00;0.00;0.00;0.0000
220.00;4;0.00;0.00;0.00;0.0000
220.00;3;2.73;7.81;7.00;0.3336
220.00;2;0.00;0.00;0.00;0.0000
220.00;1;0.00;0.00;0.00;0.0000
220.00;0;2.73;7.81;7.00;0.3336
220.00;3;2.73;7.81;0.00;0.0697
220.00;0;2.73;7.81;0.00;0.0697
230.00;3;2.73;7.81;0.00;0.0697
230.00;0;2.73;7.81;0.00;0.0697
240.00;3;2.73;7.81;0.00;0.0697
240.00;0;2.73;7.81;0.00;0.0697
250.00;3;2.73;7.81;0.00;0.0697
250.00;0;2.73;7.81;0.00;0.0697
250.00;5;0.00;0.00;0.00;0.0000
250.00;4;0.00;0.00;0.00;0.0000
250.00;3;2.73;7.81;7.00;1.0007
250.00;2;0.00;0.00;0.00;0.0000
250.00;1;0.00;0.00;0.00;0.0000
250.00;0;2.73;7.81;7.00;1.0007
260.00;3;2.73;7.81;0.00;0.0697
260.00;0;2.73;7.81;0.00;0.0697
260.00;5;0.00;0.00;0.00;0.0000
260.00;4;0.00;0.00;0.00;0.0000
260.00;3;2.73;7.81;7.00;0.3336
260.00;2;0.00;0.00;0.00;0.0000
260.00;1;0.00;0.00;0.00;0.0000
260.00;0;2.73;7.81;7.00;0.3336
270.00;3;2.73;7.81;0.00;0.0697
270.00;0;2.73;7.81;0.00;0.0697
270.00;5;0.00;0.00;0.00;0.0000
270.00;4;0.00;0.00;0.00;0.0000
270.00;3;2.73;7.81;7.00;0.3336
270.00;2;0.00;0.00;0.00;0.0000
270.00;1;0.00;0.00;0.00;0.0000
270.00;0;2.73;7.81;7.00;0.3336
280.00;3;2.73;7.81;0.00;0.0697
280.00;0;2.73;7.81;0.00;0.0697
280.00;5;0.00;0.00;0.00;0.0000
280.00;4;0.00;0.00;0.00;0.0000
280.00;3;2.73;7.81;7.00;0.3336
280.00;2;0.00;0.00;0.00;0.0000
280.00;1;0.00;0.00;0.00;0.0000
280.00;0;2.73;7.81;7.00;0.3336
290.00;3;2.73;7.81;0.00;0.0697
290.00;0;2.73;7.81;0.00;0.0697
290.00;5;0.00;0.00;0.00;0.0000
290.00;4;0.00;0.00;0.00;0.0000
290.00;3;2.73;7.81;7.00;0.3336
290.00;2;0.00;0.00;0.00;0.0000
290.00;1;0.00;0.00;0.00;0.0000
290.00;0;2.73;7.81;7.00;0.3336
300.00;3;2.73;7.81;0.00;0.0697
300.00;0;2.73;7.81;0.00;0.0697
300.00;5;0.00;0.00;0.00;0.0000
300.00;4;0.00;0.00;0.00;0.0000
300.00;3;2.73;7.81;7.00;0.3336
300.00;2;0.00;0.00;0.00;0.0000
300.00;1;0.00;0.00;0.00;0.0000
300.00;0;2.73;7.81;7.00;0.3336
310.00;3;2.73;7.81;0.00;0.0697
310.00;0;2.73;7.81;0.00;0.0697
310.00;5;0.00;0.00;0.00;0.0000
310.00;4;0.00;0.00;0.00;0.0000
310.00;3;2.73;7.81;7.00;0.3336
310.00;2;0.00;0.00;0.00;0.0000
310.00;1;0.00;0.00;0.00;0.0000
310.00;0;2.73;7.81;7.00;0.3336
320.00;3;2.73;7.81;0.00;0.0697
320.00;0;2.73;7.81;0.00;0.0697
320.00;5;0.00;0.00;0.00;0.0000
320.00;4;0.00;0.00;0.00;0.0000
320.00;3;2.73;7.81;7.00;0.3336
320.00;2;0.00;0.00;0.00;0.0000
320.00;1;0.00;0.00;0.00;0.0000
320.00;0;2.73;7.81;7.00;0.3336
330.00;3;2.73;7.81;0.00;0.0697
330.00;0;2.73;7.81;0.00;0.0697
330.00;5;0.00;0.00;0.00;0.0000
330.00;4;0.00;0.00;0.00;0.0000
330.00;3;2.73;7.81;7.00;0.3336
330.00;2;0.00;0.00;0.00;0.0000
330.00;1;0.00;0.00;0.00;0.0000
330.00;0;2.73;7.81;7.00;0.3336
340.00;3;2.73;7.81;0.00;0.0697
340.00;0;2.73;7.81;0.00;0.0697
340.00;5;0.00;0.00;0.00;0.0000
340.00;4;0.00;0.00;0.00;0.0000
340.00;3;2.73;7.81;7.00;0.3336
340.00;2;0.00;0.00;0.00;0.0000
340.00;1;0.00;0.00;0.00;0.0000
340.00;0;2.73;7.81;7.00;0.3336
350.00;3;2.73;7.81;0.00;0.0697
350.00;0;2.73;7.81;0.00;0.0697
350.00;5;0.00;0.00;0.00;0.0000
350.00;4;0.00;0.00;0.00;0.0000
350.00;3;2.73;7.81;7.00;0.3336
350.00;2;0.00;0.00;0.00;0.0000
350.00;1;0.00;0.00;0.00;0.0000
350.00;0;2.73;7.81;7.00;0.3336
360.00;3;2.73;7.81;0.00;0.0697
360.00;0;2.73;7.81;0.00;0.0697
360.00;5;0.00;0.00;0.00;0.0000
360.00;4;0.00;0.00;0.00;0.0000
360.00;3;2.73;7.81;7.00;0.3336
360.00;2;0.00;0.00;0.00;0.0000
360.00;1;0.00;0.00;0.00;0.0000
360.00;0;2.73;7.81;7.00;0.3336
370.00;3;2.73;7.81;0.00;0.0697
370.00;0;2.73;7.81;0.00;0.0697
370.00;5;0.00;0.00;0.00;0.0000
370.00;4;0.00;0.00;0.00;0.0000
370.00;3;2.73;7.81;7.00;0.3336
370.00;2;0.00;0.00;0.00;0.0000
370.00;1;0.00;0.00;0.00;0.0000
370.00;0;2.73;7.81;7.00;0.3336
380.00;3;2.73;7.81;0.00;0.0697
380.00;0;2.73;7.81;0.00;0.0697
380.00;5;0.00;0.00;0.00;0.0000
380.00;4;0.00;0.00;0.00;0.0000
380.00;3;2.73;7.81;7.00;0.3336
380.00;2;0.00;0.00;0.00;0.0000
380.00;1;0.00;0.00;0.00;0.0000
380.00;0;2.73;7.81;7.00;0.3336
390.00;3;2.73;7.81;0.00;0.0697
390.00;0;2.73;7.81;0.00;0.0697
390.00;5;0.00;0.00;0.00;0.0000
390.00;4;0.00;0.00;0.00;0.0000
390.00;3;2.73;7.81;7.00;0.3336
390.00;2;0.00;0.00;0.00;0.0000
390.00;1;0.00;0.00;0.00;0.0000
390.00;0;2.73;7.81;7.00;0.3336
400.00;3;2.73;7.81;0.00;0.0697
400.00;0;2.73;7.81;0.00;0.0697
400.00;5;0.00;0.00;0.00;0.0000
400.00;4;0.00;0.00;0.00;0.0000
400.00;3;2.73;7.81;7.00;0.3336
400.00;2;0.00;0.00;0.00;0.0000
400.00;1;0.00;0.00;0.00;0.0000
400.00;0;2.73;7.81;7.00;0.3336
410.00;3;2.73;7.81;0.00;0.0697
410.00;0;2.73;7.81;0.00;0.0697
410.00;5;0.00;0.00;0.00;0.0000
410.00;4;0.00;0.00;0.00;0.0000
410.00;3;2.73;7.81;7.00;0.3336
410.00;2;0.00;0.00;0.00;0.0000
410.00;1;0.00;0.00;0.00;0.0000
410.00;0;2.73;7.81;7.00;0.3336
420.00;3;2.73;7.81;0.00;0.0697
420.00;0;2.73;7.81;0.00;0.0697
420.00;5;0.00;0.00;0.00;0.0000
420.00;4;0.00;0.00;0.00;0.0000
420.00;3;2.73;7.81;7.00;0.3336
420.00;2;0.00;0.00;0.00;0.0000
420.00;1;0.00;0.00;0.00;0.0000
420.00;0;2.73;7.81;7.00;0.3336
430.00;3;2.73;7.81;0.00;0.0697
430.00;0;2.73;7.81;0.00;0.0697
430.00;5;0.00;0.00;0.00;0.0000
430.00;4;0.00;0.00;0.00;0.0000
430.00;3;2.73;7.81;7.00;0.3336
430.00;2;0.00;0.00;0.00;0.0000
430.00;1;0.00;0.00;0.00;0.0000
430.00;0;2.73;7.81;7.00;0.3336
440.00;3;2.73;7.81;0.00;0.0697
440.00;0;2.73;7.81;0.00;0.0697
440.00;5;0.00;0.00;0.00;0.0000
440.00;4;0.00;0.00;0.00;0.0000
440.00;3;2.73;7.81;7.00;0.3336
440.00;2;0.00;0.00;0.00;0.0000
440.00;1;0.00;0.00;0.00;0.0000
440.00;0;2.73;7.81;7.00;0.3336
450.00;3;2.73;7.81;0.00;0.0697
450.00;0;2.73;7.81;0.00;0.0697
450.00;5;0.00;0.00;0.00;0.0000
450.00;4;0.00;0.00;0.00;0.0000
450.00;3;2.73;7.81;7.00;0.3336
450.00;2;0.00;0.00;0.00;0.0000
450.00;1;0.00;0.00;0.00;0.0000
450.00;0;2.73;7.81;7.00;0.3336
460.00;3;2.73;7.81;0.00;0.0697
460.00;0;2.73;7.81;0.00;0.0697
460.00;5;0.00;0.00;0.00;0.0000
460.00;4;0.00;0.00;0.00;0.0000
460.00;3;2.73;7.81;7.00;0.3336
460.00;2;0.00;0.00;0.00;0.0000
460.00;1;0.00;0.00;0.00;0.0000
460.00;0;2.73;7.81;7.00;0.3336
470.00;3;2.73;7.81;0.00;0.0697
470.00;0;2.73;7.81;0.00;0.0697
470.00;5;0.00;0.00;0.00;0.0000
470.00;4;0.00;0.00;0.00;0.0000
470.00;3;2.73;7.81;7.00;0.3336
470.00;2;0.00;0.00;0.00;0.0000
470.00;1;0.00;0.00;0.00;0.0000
470.00;0;2.73;7.81;7.00;0.3336
480.00;3;2.73;7.81;0.00;0.0697
480.00;0;2.73;7.81;0.00;0.0697
480.00;5;0.00;0.00;0.00;0.0000
480.00;4;0.00;0.00;0.00;0.0000
480.00;3;2.73;7.81;7.00;0.3336
480.00;2;0.00;0.00;0.00;0.0000
480.00;1;0.00;0.00;0.00;0.0000
480.00;0;2.73;7.81;7.00;0.3336
490.00;3;2.73;7.81;0.00;0.0697
490.00;0;2.73;7.81;0.00;0.0697
490.00;5;0.00;0.00;0.00;0.0000
490.00;4;0.00;0.00;0.00;0.0000
490.00;3;2.73;7.81;7.00;0.3336
490.00;2;0.00;0.00;0.00;0.0000
490.00;1;0.00;0.00;0.00;0.0000
490.00;0;2.73;7.81;7.00;0.3336
500.00;3;2.73;7.81;0.00;0.0697
500.00;0;2.73;7.81;0.00;0.0697
500.00;5;0.00;0.00;0.00;0.0000
500.00;4;0.00;0.00;0.00;0.0000
500.00;3;2.73;7.81;7.00;0.3336
500.00;2;0.00;0.00;0.00;0.0000
500.00;1;0.00;0.00;0.00;0.0000
