# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
47;app0;web1;5000000;10070.4019;350.0000;0.2010;400.0000;9319.8009
47;app0;web1;5000000;10070.4019;350.0000;0.2010;400.0000;9319.8009
45;app0;db0;5000000;10400.6658;150.0000;0.2220;400.0000;9850.0039
45;app0;db0;5000000;10400.6658;150.0000;0.2220;400.0000;9850.0039
45;app0;db0;5000000;10400.6658;150.0000;0.2220;400.0000;9850.0039
45;app0;db0;5000000;10400.6658;150.0000;0.2220;400.0000;9850.0039
45;app0;db0;5000000;10400.6658;150.0000;0.2220;400.0000;9850.0039
45;app0;db0;5000000;10400.6658;150.0000;0.2220;400.0000;9850.0039
1;app0;db0;5000000;10350.6658;150.0000;0.2220;400.0000;9799.8039
1;app0;db0;5000000;10350.6658;150.0000;0.2220;400.0000;9799.8039
1;app0;db0;5000000;10350.6658;150.0000;0.2220;400.0000;9799.8039
1;app0;db0;5000000;10350.6658;150.0000;0.2220;400.0000;9799.8039
1;app0;db0;5000000;10350.6658;150.0000;0.2220;400.0000;9799.8039
1;app0;db0;5000000;10350.6658;150.0000;0.2220;400.0000;9799.8039
45;app0;db0;5000000;10950.8878;150.0000;0.2220;400.0000;10400.2258
45;app0;db0;5000000;10950.8878;150.0000;0.2220;400.0000;10400.2258
45;app0;db0;5000000;10950.8878;150.0000;0.2220;400.0000;10400.2258
45;app0;db0;5000000;10950.8878;150.0000;0.2220;400.0000;10400.2258
1;app0;db0;5000000;10900.8878;150.0000;0.2220;400.0000;10350.0258
1;app0;db0;5000000;10900.8878;150.0000;0.2220;400.0000;10350.0258
1;app0;db0;5000000;10900.8878;150.0000;0.2220;400.0000;10350.0258
1;app0;db0;5000000;10900.8878;150.0000;0.2220;400.0000;10350.0258
47;app0;web1;5000000;10820.6029;350.0000;0.2010;400.0000;10070.0019
47;app0;web1;5000000;10820.6029;350.0000;0.2010;400.0000;10070.0019
47;app0;web1;5000000;10820.6029;350.0000;0.2010;400.0000;10070.0019
47;app0;web1;5000000;10820.6029;350.0000;0.2010;400.0000;10070.0019
3;app0;web0;5000000;11190.6659;350.0000;0.2220;400.0000;10440.0039
3;app0;web0;5000000;11190.6659;350.0000;0.2220;400.0000;10440.0039
3;app0;web0;5000000;11190.6659;350.0000;0.2220;400.0000;10440.0039
3;app0;web0;5000000;11190.6659;350.0000;0.2220;400.0000;10440.0039
3;app0;web0;5000000;11190.6659;350.0000;0.2220;400.0000;10440.0039
3;app0;web0;5000000;11190.6659;350.0000;0.2220;400.0000;10440.0039
0;web0;app0;10000000;11610.6659;100.0000;0.2220;800.0000;10710.0039
0;web0;app0;10000000;11610.6659;100.0000;0.2220;800.0000;10710.0039
0;web0;app0;10000000;11610.6659;100.0000;0.2220;800.0000;10710.0039
0;web0;app0;10000000;11610.6659;100.0000;0.2220;800.0000;10710.0039
0;web0;app0;10000000;11610.6659;100.0000;0.2220;800.0000;10710.0039
0;web0;app0;10000000;11610.6659;100.0000;0.2220;800.0000;10710.0039
8;web0;app0;10000000;11340.6658;100.0000;0.2220;800.0000;10440.0039
8;web0;app0;10000000;11340.6658;100.0000;0.2220;800.0000;10440.0039
8;web0;app0;10000000;11340.6658;100.0000;0.2220;800.0000;10440.0039
8;web0;app0;10000000;11340.6658;100.0000;0.2220;800.0000;10440.0039
8;web0;app0;10000000;11340.6658;100.0000;0.2220;800.0000;10440.0039
8;web0;app0;10000000;11340.6658;100.0000;0.2220;800.0000;10440.0039
12;web1;app0;5000000;11780.4020;1000.0000;0.2010;400.0000;10379.8010
12;web1;app0;5000000;11780.4020;1000.0000;0.2010;400.0000;10379.8010
24;web0;app0;10000000;11990.6659;200.0000;0.2220;800.0000;10990.0039
24;web0;app0;10000000;11990.6659;200.0000;0.2220;800.0000;10990.0039
24;web0;app0;10000000;11990.6659;200.0000;0.2220;800.0000;10990.0039
24;web0;app0;10000000;11990.6659;200.0000;0.2220;800.0000;10990.0039
24;web0;app0;10000000;11990.6659;200.0000;0.2220;800.0000;10990.0039
24;web0;app0;10000000;11990.6659;200.0000;0.2220;800.0000;10990.0039
3;app0;web0;5000000;11940.8878;350.0000;0.2220;400.0000;11190.2259
3;app0;web0;5000000;11940.8878;350.0000;0.2220;400.0000;11190.2259
3;app0;web0;5000000;11940.8878;350.0000;0.2220;400.0000;11190.2259
3;app0;web0;5000000;11940.8878;350.0000;0.2220;400.0000;11190.2259
0;web0;app0;10000000;12510.8878;100.0000;0.2220;800.0000;11610.2259
0;web0;app0;10000000;12510.8878;100.0000;0.2220;800.0000;11610.2259
0;web0;app0;10000000;12510.8878;100.0000;0.2220;800.0000;11610.2259
0;web0;app0;10000000;12510.8878;100.0000;0.2220;800.0000;11610.2259
8;web0;app0;10000000;12240.8878;100.0000;0.2220;800.0000;11340.2258
8;web0;app0;10000000;12240.8878;100.0000;0.2220;800.0000;11340.2258
8;web0;app0;10000000;12240.8878;100.0000;0.2220;800.0000;11340.2258
8;web0;app0;10000000;12240.8878;100.0000;0.2220;800.0000;11340.2258
24;web0;app0;10000000;12990.8878;200.0000;0.2220;800.0000;11990.2259
24;web0;app0;10000000;12990.8878;200.0000;0.2220;800.0000;11990.2259
24;web0;app0;10000000;12990.8878;200.0000;0.2220;800.0000;11990.2259
24;web0;app0;10000000;12990.8878;200.0000;0.2220;800.0000;11990.2259
19;app0;web0;10000000;12810.6658;550.0000;0.2220;800.0000;11460.0039
19;app0;web0;10000000;12810.6658;550.0000;0.2220;800.0000;11460.0039
19;app0;web0;10000000;12810.6658;550.0000;0.2220;800.0000;11460.0039
19;app0;web0;10000000;12810.6658;550.0000;0.2220;800.0000;11460.0039
19;app0;web0;10000000;12810.6658;550.0000;0.2220;800.0000;11460.0039
19;app0;web0;10000000;12810.6658;550.0000;0.2220;800.0000;11460.0039
12;web1;app0;5000000;13180.6029;1000.0000;0.2010;400.0000;11780.0020
12;web1;app0;5000000;13180.6029;1000.0000;0.2010;400.0000;11780.0020
12;web1;app0;5000000;13180.6029;1000.0000;0.2010;400.0000;11780.0020
12;web1;app0;5000000;13180.6029;1000.0000;0.2010;400.0000;11780.0020
40;web0;app0;20000000;13720.6659;10.0000;0.2220;1600.0000;12110.0039
40;web0;app0;20000000;13720.6659;10.0000;0.2220;1600.0000;12110.0039
40;web0;app0;20000000;13720.6659;10.0000;0.2220;1600.0000;12110.0039
40;web0;app0;20000000;13720.6659;10.0000;0.2220;1600.0000;12110.0039
40;web0;app0;20000000;13720.6659;10.0000;0.2220;1600.0000;12110.0039
40;web0;app0;20000000;13720.6659;10.0000;0.2220;1600.0000;12110.0039
4;web1;app0;20000000;14070.4019;1000.0000;0.2010;1600.0000;11469.8010
4;web1;app0;20000000;14070.4019;1000.0000;0.2010;1600.0000;11469.8010
19;app0;web0;10000000;14160.8878;550.0000;0.2220;800.0000;12810.2258
19;app0;web0;10000000;14160.8878;550.0000;0.2220;800.0000;12810.2258
19;app0;web0;10000000;14160.8878;550.0000;0.2220;800.0000;12810.2258
19;app0;web0;10000000;14160.8878;550.0000;0.2220;800.0000;12810.2258
40;web0;app0;20000000;15330.8878;10.0000;0.2220;1600.0000;13720.2259
40;web0;app0;20000000;15330.8878;10.0000;0.2220;1600.0000;13720.2259
40;web0;app0;20000000;15330.8878;10.0000;0.2220;1600.0000;13720.2259
40;web0;app0;20000000;15330.8878;10.0000;0.2220;1600.0000;13720.2259
35;app0;web0;20000000;15680.6658;750.0000;0.2220;1600.0000;13330.0039
35;app0;web0;20000000;15680.6658;750.0000;0.2220;1600.0000;13330.0039
35;app0;web0;20000000;15680.6658;750.0000;0.2220;1600.0000;13330.0039
35;app0;web0;20000000;15680.6658;750.0000;0.2220;1600.0000;13330.0039
35;app0;web0;20000000;15680.6658;750.0000;0.2220;1600.0000;13330.0039
35;app0;web0;20000000;15680.6658;750.0000;0.2220;1600.0000;13330.0039
4;web1;app0;20000000;16670.6029;1000.0000;0.2010;1600.0000;14070.0019
4;web1;app0;20000000;16670.6029;1000.0000;0.2010;1600.0000;14070.0019
4;web1;app0;20000000;16670.6029;1000.0000;0.2010;1600.0000;14070.0019
