# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4599.9996;4599.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4399.9996;4399.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2899.9996;2899.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2499.9998;2499.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2099.9998;2099.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1199.9996;1199.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;399.9998;399.9998;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;3200.1000;6299.9000;9500.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7699.9996;7699.9996;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1200.1000;7099.8996;8299.9996;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;3200.1000;3299.8997;6499.9998;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1200.1000;2199.8997;3399.9998;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;320.1000;479.8997;799.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;5099.9998;5099.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8599.9998;8599.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;7199.9998;7199.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1699.9996;1699.9996;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5499.9996;5499.9996;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8999.9996;8999.9996;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;4200.0000;4200.0000;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5999.9996;5999.9996;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3599.9996;3599.9996;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;6999.9996;6999.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;1200.1000;8299.8997;9499.9998;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8999.9998;8999.9998;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8699.9998;8699.9998;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8400.0000;8400.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8200.0000;8200.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7800.0000;7800.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6899.9998;6899.9998;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3899.9996;3899.9996;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2800.0000;2800.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1799.9998;1799.9998;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;2400.1000;3399.8996;5799.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;1200.1000;399.8996;1599.9996;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;600.0000;600.0000;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;160.1000;7239.8996;7399.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;1200.1000;1899.8996;3099.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;800.1000;9099.8999;9900.0000;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;80.1000;6419.8996;6499.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;2400.1000;3799.8997;6199.9998;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;800.1000;4599.8997;5399.9998;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;320.1000;4579.8996;4899.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;320.1000;1679.8999;2000.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3399.9998;3399.9998;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;300.0000;300.0000;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;2300.0000;2300.0000;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1199.9998;1199.9998;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;9300.0000;9300.0000;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1000.0000;1000.0000;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;4500.0000;4500.0000;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7899.9996;7899.9996;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7399.9998;7399.9998;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7200.0000;7200.0000;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6000.0000;6000.0000;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3699.9998;3699.9998;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2200.0000;2200.0000;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;500.0000;500.0000;true
30;h_10;h_11;h_10->edge5->h_11;1000.0000;2176.00;217.60;160.1000;6439.8999;6600.0000;true
30;h_10;h_11;h_10->edge5->h_11;1000.0000;2176.00;217.60;1600.1000;3499.8997;5099.9998;true
30;h_10;h_11;h_10->edge5->h_11;1000.0000;2176.00;217.60;2400.1000;2199.8997;4599.9998;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1399.9998;1399.9998;true
30;h_10;h_11;h_10->edge5->h_11;1000.0000;2176.00;217.60;2400.1000;7399.8997;9799.9998;true
30;h_10;h_11;h_10->edge5->h_11;1000.0000;2176.00;217.60;80.1000;5519.8997;5599.9998;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4199.9996;4199.9996;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2600.0000;2600.0000;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9199.9998;9199.9998;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1699.9996;1699.9996;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8399.9998;8399.9998;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8799.9998;8799.9998;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3099.9998;3099.9998;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;9399.9996;9399.9996;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1100.0000;1100.0000;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6200.0000;6200.0000;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;5699.9998;5699.9998;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;5299.9996;5299.9996;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4299.9998;4299.9998;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3100.0000;3100.0000;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2799.9998;2799.9998;true
40;h_10;h_11;h_10->edge5->h_11;1000.0000;1328.00;132.80;3200.1000;6399.8999;9600.0000;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8899.9996;8899.9996;true
40;h_10;h_11;h_10->edge5->h_11;1000.0000;1328.00;132.80;800.1000;1099.8999;1900.0000;true
40;h_10;h_11;h_10->edge5->h_11;1000.0000;1328.00;132.80;1600.1000;5099.8997;6699.9998;true
40;h_10;h_11;h_10->edge5->h_11;1000.0000;1328.00;132.80;800.1000;8399.8997;9199.9998;true
40;h_10;h_11;h_10->edge5->h_11;1000.0000;1328.00;132.80;2400.1000;2399.8997;4799.9998;true
40;h_10;h_11;h_10->edge5->h_11;1000.0000;1328.00;132.80;80.1000;1319.8997;1399.9998;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3899.9998;3899.9998;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1599.9996;1599.9996;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8699.9996;8699.9996;true
40;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;199.9996;199.9996;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;7300.0000;7300.0000;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3599.9998;3599.9998;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;899.9996;899.9996;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;10000.0000;10000.0000;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;599.9996;599.9996;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;7800.0000;7800.0000;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;2400.0000;2400.0000;true
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8300.0000;8300.0000;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;160.1000;9639.8999;9800.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9000.0000;9000.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8800.0000;8800.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6000.0000;6000.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4700.0000;4700.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4199.9998;4199.9998;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3899.9998;3899.9998;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2999.9997;2999.9997;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1899.9997;1899.9997;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1299.9997;1299.9997;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9499.9996;9499.9996;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;320.1000;7979.8997;8299.9998;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;800.1000;6599.8995;7399.9996;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;2400.1000;6099.8999;8500.0000;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;320.1000;5479.8997;5799.9998;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;320.1000;4679.8995;4999.9996;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;1600.1000;899.8997;2499.9997;true
50;h_10;h_11;h_10->edge5->h_11;1000.0000;1776.00;177.60;80.1000;719.8997;799.9997;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7000.0000;7000.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;5300.0000;5300.0000;true
50;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;500.0000;500.0000;true
50;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;200.0000;200.0000;true
50;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;7999.9998;7999.9998;true
50;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;6600.0000;6600.0000;true
50;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3399.9997;3399.9997;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3400.0000;3400.0000;true
60;h_10;h_11;h_10->edge5->h_11;1000.0000;1200.00;120.00;160.1000;9539.8995;9699.9996;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2499.9997;2499.9997;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1800.0000;1800.0000;true
60;h_10;h_11;h_10->edge5->h_11;1000.0000;1200.00;120.00;320.1000;6179.8997;6499.9997;true
60;h_10;h_11;h_10->edge5->h_11;1000.0000;1200.00;120.00;160.1000;4939.8997;5099.9997;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6300.0000;6300.0000;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4399.9996;4399.9996;true
60;h_10;h_11;h_10->edge5->h_11;1000.0000;1200.00;120.00;320.1000;2579.8995;2899.9996;true
60;h_10;h_11;h_10->edge5->h_11;1000.0000;1200.00;120.00;1600.1000;6499.8999;8100.0000;true
60;h_10;h_11;h_10->edge5->h_11;1000.0000;1200.00;120.00;2400.1000;4799.8995;7199.9996;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6900.0000;6900.0000;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7799.9996;7799.9996;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4600.0000;4600.0000;true
60;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;200.0000;200.0000;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;9099.9997;9099.9997;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;2100.0000;2100.0000;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1399.9996;1399.9996;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3800.0000;3800.0000;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5999.9996;5999.9996;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;800.0000;800.0000;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8699.9997;8699.9997;true
60;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5399.9997;5399.9997;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7399.9999;7399.9999;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4899.9999;4899.9999;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2999.9997;2999.9997;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2199.9999;2199.9999;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1299.9997;1299.9997;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;599.9997;599.9997;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;320.1000;3179.8999;3499.9999;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;1200.1000;1299.8997;2499.9997;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;160.1000;9839.8999;9999.9999;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;1200.1000;4599.8997;5799.9997;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;160.1000;9339.8997;9499.9997;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;800.1000;8299.8999;9099.9999;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;1200.1000;4199.8995;5399.9996;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;80.1000;4419.8997;4499.9997;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;2400.1000;0.0000;1799.9999;true
70;h_10;h_11;h_10->edge5->h_11;1000.0000;992.00;99.20;1200.1000;0.0000;99.9997;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6099.9996;6099.9996;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7699.9999;7699.9999;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;899.9999;899.9999;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8299.9997;8299.9997;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8099.9999;8099.9999;true
70;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6299.9997;6299.9997;true
70;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8899.9996;8899.9996;true
70;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3999.9999;3999.9999;true
70;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8699.9996;8699.9996;true
70;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;6899.9999;6899.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7899.9996;7899.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7399.9999;7399.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6699.9996;6699.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6199.9999;6199.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;5299.9996;5299.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3499.9996;3499.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3299.9999;3299.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8799.9999;8799.9999;true
80;h_10;h_11;h_10->edge5->h_11;1000.0000;1744.00;174.40;320.1000;3779.8999;4099.9999;true
80;h_10;h_11;h_10->edge5->h_11;1000.0000;1744.00;174.40;2400.1000;699.8999;3099.9999;true
80;h_10;h_11;h_10->edge5->h_11;1000.0000;1744.00;174.40;3200.1000;0.0000;2299.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1299.9999;1299.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;199.9999;199.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7599.9996;7599.9996;true
80;h_10;h_11;h_10->edge5->h_11;1000.0000;1744.00;174.40;160.1000;739.8995;899.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2599.9996;2599.9996;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6999.9999;6999.9999;true
80;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8199.9996;8199.9996;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;4399.9997;4399.9997;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;9599.9996;9599.9996;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1899.9999;1899.9999;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;699.9999;699.9999;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;4899.9999;4899.9999;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;9099.9997;9099.9997;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5899.9999;5899.9999;true
80;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8599.9999;8599.9999;true
90;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9699.9999;9699.9999;true
90;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9099.9999;9099.9999;true
90;h_10;h_11;h_10->edge5->h_11;1000.0000;1216.00;121.60;2400.1000;1799.8997;4199.9997;true
90;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2199.9996;2199.9996;true
90;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;699.9996;699.9996;true
90;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;499.9999;499.9999;true
90;h_10;h_11;h_10->edge5->h_11;1000.0000;1216.00;121.60;1600.1000;3199.8999;4799.9999;true
90;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3799.9999;3799.9999;true
90;h_10;h_11;h_10->edge5->h_11;1000.0000;1216.00;121.60;320.1000;2679.8997;2999.9997;true
90;h_10;h_11;h_10->edge5->h_11;1000.0000;1216.00;121.60;1600.1000;3599.8997;5199.9997;true
90;h_10;h_11;h_10->edge5->h_11;1000.0000;1216.00;121.60;1200.1000;5199.8999;6399.9999;true
90;h_10;h_11;h_10->edge5->h_11;1000.0000;1216.00;121.60;3200.1000;5199.8997;8399.9997;true
