# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
60.00;6;1.95;4.69;0.00;0.0696
60.00;5;6.25;12.50;0.00;0.0699
60.00;4;0.78;3.13;0.00;0.0695
60.00;3;1.17;4.69;0.00;0.0696
60.00;2;1.56;6.25;0.00;0.0696
60.00;1;3.13;6.25;0.00;0.0697
60.00;0;1.95;4.69;0.00;0.0696
70.00;11;1.56;6.25;6.00;0.3335
70.00;10;1.56;6.25;5.00;0.3335
70.00;9;1.17;4.69;5.00;0.3335
70.00;8;6.25;12.50;10.00;0.3338
70.00;7;1.56;6.25;5.00;0.3335
70.00;6;1.95;4.69;4.00;0.3335
70.00;5;6.25;12.50;10.00;0.3338
70.00;4;0.78;3.13;4.00;0.3334
70.00;3;1.17;4.69;4.50;0.3335
70.00;2;1.56;6.25;4.00;0.3335
70.00;1;3.13;6.25;5.00;0.3336
70.00;0;1.95;4.69;4.50;0.3335
70.00;11;1.56;6.25;0.00;0.0696
70.00;10;1.56;6.25;0.00;0.0696
70.00;9;1.17;4.69;0.00;0.0696
70.00;8;6.25;12.50;0.00;0.0699
70.00;7;1.56;6.25;0.00;0.0696
70.00;6;1.95;4.69;0.00;0.0696
70.00;5;6.25;12.50;0.00;0.0699
70.00;4;0.78;3.13;0.00;0.0695
70.00;3;1.17;4.69;0.00;0.0696
70.00;2;1.56;6.25;0.00;0.0696
70.00;1;3.13;6.25;0.00;0.0697
70.00;0;1.95;4.69;0.00;0.0696
80.00;11;1.56;6.25;6.00;0.3335
80.00;10;1.56;6.25;5.00;0.3335
80.00;9;1.17;4.69;5.00;0.3335
80.00;8;6.25;12.50;10.00;0.3338
80.00;7;1.56;6.25;5.00;0.3335
80.00;6;1.95;4.69;4.00;0.3335
80.00;5;6.25;12.50;10.00;0.3338
80.00;4;0.78;3.13;4.00;0.3334
80.00;3;1.17;4.69;4.50;0.3335
80.00;2;1.56;6.25;4.00;0.3335
80.00;1;3.13;6.25;5.00;0.3336
80.00;0;1.95;4.69;4.50;0.3335
80.00;11;1.56;6.25;0.00;0.0696
80.00;10;1.56;6.25;0.00;0.0696
80.00;9;1.17;4.69;0.00;0.0696
80.00;8;6.25;12.50;0.00;0.0699
80.00;7;1.56;6.25;0.00;0.0696
80.00;6;1.95;4.69;0.00;0.0696
80.00;5;6.25;12.50;0.00;0.0699
80.00;4;0.78;3.13;0.00;0.0695
80.00;3;1.17;4.69;0.00;0.0696
80.00;2;1.56;6.25;0.00;0.0696
80.00;1;3.13;6.25;0.00;0.0697
80.00;0;1.95;4.69;0.00;0.0696
90.00;11;1.56;6.25;6.00;0.3335
90.00;10;1.56;6.25;5.00;0.3335
90.00;9;1.17;4.69;5.00;0.3335
90.00;8;6.25;12.50;10.00;0.3338
90.00;7;1.56;6.25;5.00;0.3335
90.00;6;1.95;4.69;4.00;0.3335
90.00;5;6.25;12.50;10.00;0.3338
90.00;4;0.78;3.13;4.00;0.3334
90.00;3;1.17;4.69;4.50;0.3335
90.00;2;1.56;6.25;4.00;0.3335
90.00;1;3.13;6.25;5.00;0.3336
90.00;0;1.95;4.69;4.50;0.3335
90.00;11;1.56;6.25;0.00;0.0696
90.00;10;1.56;6.25;0.00;0.0696
90.00;9;1.17;4.69;0.00;0.0696
90.00;8;6.25;12.50;0.00;0.0699
90.00;7;1.56;6.25;0.00;0.0696
90.00;6;1.95;4.69;0.00;0.0696
90.00;5;6.25;12.50;0.00;0.0699
90.00;4;0.78;3.13;0.00;0.0695
90.00;3;1.17;4.69;0.00;0.0696
90.00;2;1.56;6.25;0.00;0.0696
90.00;1;3.13;6.25;0.00;0.0697
90.00;0;1.95;4.69;0.00;0.0696
100.00;11;1.56;6.25;6.00;0.3335
100.00;10;1.56;6.25;5.00;0.3335
100.00;9;1.17;4.69;5.00;0.3335
100.00;8;6.25;12.50;10.00;0.3338
100.00;7;1.56;6.25;5.00;0.3335
100.00;6;1.95;4.69;4.00;0.3335
100.00;5;6.25;12.50;10.00;0.3338
100.00;4;0.78;3.13;4.00;0.3334
100.00;3;1.17;4.69;4.50;0.3335
100.00;2;1.56;6.25;4.00;0.3335
100.00;1;3.13;6.25;5.00;0.3336
100.00;0;1.95;4.69;4.50;0.3335
100.00;11;1.56;6.25;0.00;0.0696
100.00;10;1.56;6.25;0.00;0.0696
100.00;9;1.17;4.69;0.00;0.0696
100.00;8;6.25;12.50;0.00;0.0699
100.00;7;1.56;6.25;0.00;0.0696
100.00;6;1.95;4.69;0.00;0.0696
100.00;5;6.25;12.50;0.00;0.0699
100.00;4;0.78;3.13;0.00;0.0695
100.00;3;1.17;4.69;0.00;0.0696
100.00;2;1.56;6.25;0.00;0.0696
100.00;1;3.13;6.25;0.00;0.0697
100.00;0;1.95;4.69;0.00;0.0696
110.00;11;1.56;6.25;6.00;0.3335
110.00;10;1.56;6.25;5.00;0.3335
110.00;9;1.17;4.69;5.00;0.3335
110.00;8;6.25;12.50;10.00;0.3338
